a,b,c,d,eig1,eig2,sum_squared
-4,9,4,0,-8.32455532033676,4.324555320336758,88.00000000000001
0,0,10,-7,-7.0,0.0,49.0
1,-5,-9,10,-2.577747210701755,13.577747210701755,190.99999999999997
-10,1,1,6,-10.06225774829855,6.06225774829855,138.0
-1,5,4,4,-3.623475382979799,6.6234753829798,57.00000000000001
8,1,9,-8,8.544003745317532,-8.54400374531753,146.0
-6,8,-4,10,-3.6568542494923797,7.65685424949238,71.99999999999999
-9,9,4,-4,-13.0,0.0,169.0
1,-3,4,-8,-0.6277186767309857,-6.372281323269014,41.0
-3,-7,-9,-5,4.0,-12.0,160.0
-9,-1,-7,3,-9.557438524302,3.557438524302001,104.0
-3,10,5,2,-8.0,7.0,113.0
7,4,10,2,11.300735254367723,-2.300735254367721,133.00000000000003
-2,4,2,-10,-1.1010205144336442,-10.898979485566356,119.99999999999999
-4,-2,-10,1,-6.623475382979799,3.6234753829797994,57.0
-3,0,8,6,6.0,-3.0,45.0
-3,-8,-8,-10,2.2321245982864912,-15.23212459828649,236.99999999999997
-6,-1,-4,-2,-6.82842712474619,-1.1715728752538097,48.0
-4,-2,-3,1,-5.0,2.0,29.0
-10,-8,-6,4,-12.848857801796107,6.848857801796104,212.00000000000006
3,-8,-10,-6,8.512492197250394,-11.512492197250392,205.0
3,-4,-2,4,0.6277186767309857,6.372281323269014,41.0
4,-1,2,8,4.585786437626905,7.414213562373095,76.0
-4,6,9,-7,2.0,-13.0,173.0
-6,-4,2,4,-5.1231056256176615,3.1231056256176606,36.00000000000001
8,-9,-1,2,9.242640687119284,0.7573593128807148,85.99999999999997
10,-5,1,1,9.405124837953327,1.5948751620466728,91.0
9,0,-4,-10,-10.0,9.0,181.0
-10,9,2,-2,-11.830951894845299,-0.16904810515469926,139.99999999999994
-8,-4,-5,-3,-10.623475382979798,-0.37652461702020057,112.99999999999999
-2,-6,-10,8,-6.219544457292889,12.219544457292887,188.00000000000003
-1,1,4,-2,0.5615528128088303,-3.5615528128088303,13.0
9,6,6,9,15.0,2.9999999999999982,234.0
1,-4,-9,-8,4.0,-11.0,137.0
6,-9,-9,-6,10.816653826391967,-10.816653826391969,234.0
10,1,-5,-7,9.700609733428365,-6.7006097334283625,139.00000000000006
9,-9,-5,0,12.577747210701755,-3.577747210701756,170.99999999999997
-5,5,-8,9,-1.0,5.0,26.0
-10,-3,-4,7,-10.678779875342912,7.67877987534291,173.00000000000003
-3,-10,0,7,-3.0,7.0,58.0
