a,b,c,d,e,f,g,h,i,eig1,eig2,eig3,sum_squared
-9,10,-10,1,1,6,-1,5,4,-11.408156732388097,-0.7911172292975762,8.199273961685673,198.0
-2,-4,7,-7,3,7,-2,10,-9,7.07400481274961,-0.5246687947375185,-14.549336018012093,262.0
9,4,-4,1,-3,4,-8,3,6,13.0,4.623475382979804,-5.6234753829798,222.00000000000006
-3,10,5,2,7,4,10,2,-2,-8.318990680926527,-1.75258139934993,12.071572080276455,217.9999999999998
9,2,-2,-8,-4,-5,-3,-2,-6,8.028030529657007,-8.242155430694435,-0.7858750989625777,133.00000000000017
9,1,-4,-9,-8,6,-6,6,6,13.75999157805143,2.570377674223889,-9.330369252275332,282.99999999999983
9,-7,8,-8,8,9,-4,9,-2,15.940651469934611,6.756472246162574,-7.697123716097198,358.99999999999955
-8,9,-10,9,0,6,-3,-7,-5,6.113197141116867,-11.423637434139158,-7.689559706977725,227.00000000000028
-3,9,-8,5,-8,7,3,7,-9,0.7685442607126429,-4.1495658676389,-16.61897839307374,293.99999999999994
-1,-8,-3,3,7,4,-9,-1,-9,-9.70363658673488,0.8648457111829073,5.838790875551965,129.0000000000001
6,-3,-10,-2,0,5,-4,-1,-8,9.14417977071896,-9.831644142539638,-1.3125356281793292,181.99999999999994
9,-1,-5,4,0,-6,-10,-3,10,17.056269241129026,3.8174439623097367,-1.873713203438764,308.9999999999999
-10,-6,-1,-6,-7,-9,9,-1,8,9.725060042393089,-12.111099683424166,-6.613960358968933,285.00000000000006
-10,-6,2,-7,5,5,-9,6,9,-11.244295526836407,13.59590474920214,1.6483907776342623,314.0000000000002
-8,-10,-10,-3,-1,0,1,2,1,-9.844288770224754,-0.9999999999999992,2.8442887702247615,105.99999999999989
8,-2,-4,-7,10,7,2,0,-7,12.539392014169458,4.999999999999996,-6.539392014169456,225.0
10,-7,-1,-6,-2,-8,6,-8,5,15.351260375148208,5.55395346294001,-7.90521383808821,329.0000000000001
-2,6,6,9,5,2,8,6,-7,12.224473012756246,-11.643914385911193,-4.58055862684505,306.00000000000006
4,5,10,-6,-8,1,9,10,-7,-15.253847704966642,5.819654552463979,-1.5658068474973443,269.0000000000004
10,5,-4,2,10,-1,-4,3,-6,-6.816074051942701,13.481037599551856,7.335036452390856,282.0000000000001
-8,0,0,7,4,1,-2,-1,1,1.381966011250105,3.618033988749895,-8.0,79.0
-4,-1,8,-4,-8,2,2,7,9,-11.176775348347823,-1.8550904852833159,10.031865833631137,229.00000000000003
7,-6,-2,-7,6,-2,-10,10,9,0.3667504192891968,13.633249580710782,8.000000000000007,249.99999999999963
4,6,0,10,6,2,-10,-9,-2,11.489252878253009,-2.7217716369748963,-0.7674812412781188,139.99999999999983
10,3,-2,3,-10,8,2,2,-7,10.329024650595326,-4.531492721126643,-12.797531929468683,291.00000000000006
1,-10,1,-6,6,5,4,4,-6,-10.212924521335827,-0.4693642082542444,11.682288729590068,240.9999999999999
10,3,-9,0,8,-4,-5,-9,-5,-9.245035225545415,14.131547986958614,8.113487238586785,351.0000000000002
7,-9,7,4,8,-9,9,-5,-10,-13.537442865639896,8.289117772887966,10.248325092751932,357.00000000000057
0,5,0,8,4,5,0,5,-3,9.950387894802049,-1.65251268579291,-7.297875209009142,154.99999999999986
-7,-3,-7,-8,-8,7,8,8,10,-11.199125055402996,-4.528183609499911,10.727308664902909,260.99999999999983
-6,7,-1,10,-5,-10,-6,-2,1,8.050592164452446,-12.649935861429157,-5.4006563030232915,253.99999999999974
9,-7,-1,-8,-2,2,7,4,-7,12.39102527402336,-9.169881392543811,-3.2211438814795565,248.00000000000009
4,-9,4,-3,-3,6,1,8,-1,-10.895349593166792,7.170613545352554,3.724736047814233,184.00000000000009
4,-5,6,-5,8,-9,4,0,-3,12.907938736162102,0.5708202271810434,-4.478758963343155,186.99999999999972
9,6,1,4,-10,3,-5,-6,0,9.04090053920217,-10.062883988609137,0.021983449406972576,183.00000000000003
-8,-10,-3,-3,0,-2,-6,3,-8,-13.905994238096929,1.819257241976392,-3.913263003879477,212.00000000000034
-10,-6,-10,-7,-9,-1,-6,-1,-10,-20.417196930271803,-0.21060411011779467,-8.372198959610417,487.0000000000006
6,0,1,8,-4,9,-5,10,-10,-16.626740629784415,6.355571221155985,2.271169408628437,321.99999999999966
7,-4,-3,-10,-8,-3,4,-6,-8,8.309158453056883,-3.6468650461125027,-13.662293406944391,268.99999999999994
5,-7,9,-6,10,3,5,7,-4,-10.359814179630078,7.397117173496006,13.962697006134077,356.99999999999943
-8,9,1,6,-1,3,6,7,8,-12.518785315334721,11.58772031910567,-0.0689350037709527,290.9999999999996
6,3,-2,-3,-9,2,-4,-2,0,6.296131197429657,-1.1731768001458311,-8.122954397283827,107.00000000000009
10,-1,10,-5,-3,-9,1,2,10,-2.5110528490334936,11.537943596571557,7.973109252461938,202.99999999999997
8,10,-7,8,10,0,-3,0,-7,18.3772205663653,1.314692256778283,-8.691912823143578,415.0000000000003
0,-3,-1,-4,-8,-8,7,-6,1,5.793452396181292,-1.12417002359128,-11.669282372590011,170.99999999999991
6,-1,6,4,1,5,8,-3,10,13.73772542458088,0.940600374825537,2.3216742005935713,194.9999999999997
6,-6,5,-5,-3,7,1,4,-2,-9.864521455429502,8.4877724056197,2.376749049809801,175.0
4,10,-4,-2,8,5,-3,7,7,11.547983628268799,7.033408987020537,0.4186073847106539,182.99999999999977
1,-9,-8,-1,-9,2,2,7,-8,-11.936667007009573,0.12015171815569403,-4.183484711146119,159.99999999999997
-4,3,9,6,10,1,5,1,4,-8.341862052084595,12.502701256350825,5.8391607957337675,259.9999999999997
9,10,8,2,3,-1,0,-9,-2,10.264609568077724,4.694846617314116,-4.959456185391842,151.99999999999994
6,-8,-5,-6,-6,4,6,-2,-8,6.358326837486109,-9.678253757412989,-4.680073080073121,155.99999999999983
-3,-6,0,-9,4,-5,-3,-6,5,-8.737476044397704,3.303033145183156,11.434442899214538,218.00000000000006
-9,4,3,9,0,-8,6,1,10,-12.997480468751847,8.74527562306253,5.2522048456893256,272.9999999999999
3,-4,6,1,9,-7,-2,-5,5,11.723580102689095,3.543021008894883,1.7333988884160232,153.00000000000006
7,7,3,4,-5,0,2,-10,-5,8.830951894845308,-8.999999999999998,-2.8309518948453003,167.0000000000001
5,9,-10,-1,-3,7,-10,-9,-10,-13.079672522150476,4.274862233093605,0.8048102890568665,190.00000000000003
0,-8,-5,-2,-5,-2,-4,-2,7,9.089390303459611,1.2643201567288997,-8.35371046018852,153.9999999999997
0,-6,4,-6,1,-6,6,6,1,6.095932280272493,-3.539823876658515,-0.5561084036139772,49.99999999999999
-6,-9,5,-6,4,1,-7,4,0,6.960659883237726,-6.648566692800806,-2.312093190436919,98.00000000000006
3,4,-8,-3,5,-1,-7,7,-9,-11.494187196695453,6.200948468775911,4.293238727919538,189.00000000000017
6,2,-7,0,-4,1,-1,-4,2,7.2227295188355525,-0.08834382687044434,-3.1343856919651008,62.00000000000011
5,-6,4,-8,-4,0,-1,-2,3,-7.294418473324775,8.888313586319176,2.4061048870055965,138.00000000000003
2,-9,-8,-4,10,7,-8,-1,-4,-8.166379716195959,0.7131720234252915,15.45320769277067,305.9999999999999
-2,-3,-10,-5,-2,-4,-7,2,6,11.226986893675823,-8.446646308464928,-0.7803405852108979,198.0000000000002
-1,5,1,6,5,1,-3,9,-8,-7.693673115099056,-5.080853658438743,8.774526773537795,161.99999999999997
10,-8,-9,-9,-8,7,3,9,7,-12.808185179927248,14.588649685171461,7.219535494755785,429.00000000000006
-9,-1,-9,0,7,4,-2,8,-2,-11.319338005177256,-2.628662759792135,9.948000764969398,233.99999999999997
-8,10,-2,3,8,-4,5,5,-10,-10.244234053244899,-7.720900362302399,7.965134415547308,227.9999999999999
-4,-6,-10,2,10,7,2,10,10,16.774531820937057,-2.658293477182319,1.8837616562452597,291.9999999999998
6,-2,-2,-10,-9,5,-10,-1,7,11.723805294763608,1.9999999999999998,-9.723805294763606,235.99999999999994
-7,-7,3,-2,-2,7,-1,10,-7,4.858808792067385,-7.0495356848176085,-13.809273107249776,264.0000000000001
1,-3,-9,2,10,5,-9,0,-1,-8.501206591520845,7.1791106193051935,11.322095972215648,251.99999999999983
6,1,-2,4,7,10,2,10,-3,13.05279350261827,6.186086885405834,-9.238880388024096,294.00000000000006
-9,10,4,9,7,4,8,1,2,-14.237030331535255,13.520095088271821,0.7169352432634302,385.9999999999999
-10,-7,-3,-8,-1,-9,0,-1,10,-14.379823547792048,2.5239283576220073,10.855895190170036,331.0000000000001
