a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,eig1,eig2,eig3,eig4,sum_squared
1,-5,-9,10,-10,1,1,6,-1,5,4,4,8,1,9,-8,-15.970344262760646,12.154998760602492,5.885441810233813,-4.070096308075643,453.99999999999926
-6,-1,-4,-2,-4,-2,-3,1,-9,-10,5,-6,-8,1,-3,-8,-14.65638481049185,-5.925715638202856,0.14519433132266832,9.436906117372036,339.0000000000001
-6,3,-6,4,6,3,9,-6,1,5,5,10,-4,-7,-10,-6,5.780466842099074,-2.0000000000000924,-2.4208167090695714,-5.359650133029412,71.99999999999983
-7,10,5,-4,2,10,-1,-4,3,-6,-8,0,0,7,4,1,-12.576525440484595,-3.0167931682738627,7.459104588081407,4.134214020677064,239.99999999999994
5,-7,0,-2,-8,8,-3,-6,-7,-5,-9,9,0,-7,4,-5,15.517717672746318,4.421159970633923,-7.877578074970073,-13.061299568410169,493.00000000000006
9,-3,6,-4,-10,2,8,8,6,2,5,-3,8,7,-10,3,-9.23538665662683,14.374691406772005,5.702250752119707,8.158444497735111,390.99999999999983
8,4,7,-9,6,7,-5,8,-7,-10,-3,-4,-8,-1,-1,8,15.784490981732306,9.624081174159889,0.08861381446380397,-5.497185970356001,371.99999999999994
10,-7,8,10,0,-3,0,-7,6,-4,-3,-8,-9,4,-6,-10,-10.716706182660769,6.453500375880719,1.959704250427166,-3.6964984436471267,174.00000000000003
1,8,-6,1,6,6,-1,6,4,1,5,8,-3,10,6,-6,-11.787731353472928,-2.5819124330882826,10.863763617775154,9.505880168786064,353.99999999999983
5,-5,-3,7,1,4,-2,2,4,-1,5,-4,6,10,-4,3,12.199492112022917,-3.303519540852091,6.104027428829169,1.9999999999999978,200.99999999999983
3,-8,1,2,-9,-8,-6,0,-3,1,-4,4,6,-7,2,7,11.918526615118797,-12.242928672068887,1.470404509752367,-3.146002452802279,303.9999999999996
3,0,7,1,1,2,2,8,8,3,-7,2,-3,10,8,1,12.208681898134113,6.024571567233522,-10.777144787243001,-8.456108678124634,372.9999999999999
-8,3,5,-1,-1,1,-2,-10,-6,9,-3,0,1,-10,9,0,5.098314420627308,-0.6016227468592419,-2.856978999739997,-11.639712674028074,169.99999999999994
-1,-3,7,10,-10,-3,-5,-6,4,4,-9,-10,0,-1,7,7,-8.403810098359788,-2.3548240064488204,2.8835394525587676,1.8750946522498197,88.0000000000004
10,6,5,-6,4,-8,-4,0,-1,-2,3,2,-9,-8,-4,10,17.471660452316385,-9.297813213908828,2.0000000000000018,4.826152761592449,419.00000000000045
7,-8,-1,-4,-2,6,0,-4,3,8,-7,-5,-1,-4,2,3,10.760114561293125,-6.604373957810797,5.411172580425566,-0.5669131839079006,188.99999999999986
-3,-4,-10,10,5,1,-5,9,-9,3,-7,-10,7,2,-9,-2,11.727409962076827,4.290453099089917,-15.51858393708468,-11.499279124082054,529.0000000000011
6,-2,-2,-10,-9,5,-10,-1,7,-3,10,0,-9,-3,-3,6,14.893634647236208,14.319195307985495,-4.399740388274665,2.186910433052957,450.99999999999983
6,-6,9,10,-3,3,-7,0,9,4,8,-4,8,8,0,-6,17.022461205605637,-11.718512334681353,4.206293567004564,1.489757562071141,447.0000000000001
1,0,0,2,7,-9,10,4,9,7,4,8,1,2,0,-6,8.907855881773111,0.9129021171309964,-12.85872510265444,-6.96203289624966,293.9999999999999
-10,-8,8,-4,1,4,-6,4,-3,-1,5,-3,-10,1,-6,-8,-12.626940590573495,-7.093730156249693,3.149795488955044,7.570875257868133,277.0000000000002
3,-1,5,5,-1,2,-5,1,-2,2,-7,0,9,7,0,10,14.24362422845596,-4.392709297605939,-2.359042277120289,0.5081273462702542,227.99999999999986
-2,-10,9,3,0,10,-8,-2,3,-2,-7,-7,-3,-9,-2,3,-11.445440733513438,-1.626289858235595,5.830770564261486,11.240960027487555,293.9999999999998
-2,5,6,5,1,-8,0,3,7,10,10,-6,5,9,-6,-8,13.344453943952942,2.5308566908409436,-15.969099499956933,-7.906211134836922,501.9999999999997
-1,-10,2,6,-8,-3,3,-8,5,2,9,6,2,-5,6,3,-12.773074991336568,-2.179103011183232,15.759710588344106,7.192467414175692,467.99999999999994
4,6,4,9,7,7,-9,-7,-10,-7,7,-6,8,4,-3,9,19.360124513090938,-2.5850313062294634,2.3530302214071344,7.871876571731384,448.9999999999998
