a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,eig1,eig2,eig3,eig4,eig5,sum_squared
-4,9,4,0,-3,10,-4,8,0,0,10,-7,-3,-8,10,-9,1,-5,-9,10,-10,1,1,6,-1,7.447125916360693,5.540667422751989,-4.396298069540578,-16.756052105464423,-12.835443164107717,551.0000000000007
5,5,-10,-2,-5,5,-8,9,-7,8,-8,8,9,-4,9,-2,-10,-3,-4,7,-3,-10,0,7,-1,16.18087544331013,9.338394308155348,0.9495552472394487,-14.570370431687275,-10.898454567017655,680.9999999999998
-3,-10,-2,0,5,-4,-1,-8,7,2,-4,-7,2,9,-10,-3,3,5,3,1,8,4,-9,-9,8,19.36983114030839,-12.528331834352311,-8.232621043799544,9.13807201717107,1.253049720672391,684.9999999999993
-8,5,-7,7,6,-4,-6,1,6,2,-8,-2,6,6,9,5,2,8,6,-7,1,-2,8,1,-2,-16.114047888776657,13.532703639513848,7.8224263572514445,-1.3560166272680125,-7.885065480720623,568.0000000000001
10,5,-5,6,-6,-6,-5,-8,10,-6,10,-6,-1,-1,8,6,10,3,-2,3,-10,8,2,2,-7,-14.15416642670684,-9.522975431838747,10.73138829794113,6.3437750347159225,1.6019785258885089,449.00000000000017
0,-8,-10,-5,7,-1,-6,-1,1,-9,2,-3,-9,9,-10,-6,-2,6,-2,0,4,-5,-8,6,-6,-18.71190140214808,9.50618105895858,-12.080121606934021,-4.105059985650071,2.39090193577361,608.9999999999997
4,4,-5,1,9,7,3,-9,-2,-6,9,-10,-8,-5,-6,10,-6,-10,6,8,3,1,-1,9,10,21.3589052799918,-9.655418651852525,-8.153070190722802,9.69663143595131,1.7529521266322337,712.9999999999997
5,-1,-7,7,-9,6,2,-7,0,-4,1,-1,-4,2,-4,6,-1,-1,-7,9,-7,-4,-10,1,2,-15.260736415759993,11.88148003485722,-5.049762998540758,4.156344281867323,2.272675097576208,421.99999999999943
9,-5,7,-3,-4,-10,10,5,1,-5,9,-9,3,-7,-10,7,2,-9,-2,10,-9,-2,-10,0,-8,21.288428847526284,9.604637360445441,1.7154657287797503,-7.729861045148199,-12.878670891603262,774.0000000000002
-6,-3,-10,9,1,0,-4,4,0,5,-8,9,3,-8,-10,10,4,-10,6,-9,9,-5,-3,5,8,20.724043638493647,-12.356074829113329,-7.418690685093495,0.24158283988848067,5.80913903582471,671.000000000001
-10,2,-8,-1,10,-8,-2,-3,-8,2,-5,2,9,9,1,2,-9,10,5,-5,8,10,2,6,-2,-18.476566156171586,18.341402619428944,3.6297590840132945,1.162015117851275,-4.656610665121931,713.9999999999993
-2,9,10,8,-7,-3,2,-7,-2,-2,7,1,-1,0,-4,-2,-5,8,5,4,-4,5,-6,5,-10,-11.11769994059036,-9.26287854202084,9.429826709706605,4.401411427818507,0.549340345086113,317.9999999999997
